,index,Date,spx,dax,ftse,nikkei,spx_norm,dax_norm,ftse_norm,nikkei_norm,spx_ret,ftse_ret,dax_ret,nikkei_ret,spx_ret_norm,ftse_ret_norm,dax_ret_norm,nikkei_ret_norm,spx_vol,dax_vol,ftse_vol,nikkei_vol
673,673,1996-08-06,662.3800048828125,2527.72998046875,3788.39990234375,20744.880859375,141.80082458611938,113.82941389887529,111.32529833510874,114.46076849004827,0.3256478011701258,0.00263583967314851,0.2860505324945084,-1.5779400120370712,54.718225211229885,0.20859912576103148,147.03757154057203,76262945496.74457,0.1060464904069378,0.08182490714039181,6.947650782543644e-06,2.4898946815875527
674,674,1996-08-07,664.1599731445312,2541.409912109375,3811.10009765625,20477.58984375,142.18187619605362,114.44545224666601,111.99236255234352,112.98597886525769,0.2687231269962176,0.5992027214037243,0.5411943422092946,-1.2884673449652828,45.15323772987256,47.42062467295041,278.18826665347905,62272528837.49933,0.07221211898262528,0.2928913160393511,0.35904390133762926,1.660148099041885
675,675,1996-08-08,662.5900268554688,2534.6298828125,3811.39990234375,20731.310546875,141.84578561858464,114.14013215035676,112.00117256373052,114.38589370971431,-0.23638074448079083,0.007866618032004169,-0.2667822008787013,1.2390164324071584,-39.71878442176524,0.6225604921607002,-137.1331373005096,-59882531613.00666,0.05587585636129292,0.07117274270568373,6.188367926145315e-05,1.5351617197749625
676,676,1996-08-09,662.0999755859375,2532.9599609375,3810.699951171875,20551.05078125,141.7408765428324,114.06493178095143,111.98060391336688,113.39130273369773,-0.07395995256025412,-0.01836467413048881,-0.0658842494647427,-0.8695049221197015,-12.427405701074088,-1.4533717689779824,-33.86625418799029,42023781625.99509,0.0054700745827150395,0.004340734327532448,0.000337261255919045,0.7560388095903883
677,677,1996-08-12,665.77001953125,2529.139892578125,3803.300048828125,20666.599609375,142.52655131241528,113.89290543883372,111.76315159647739,114.02884834097149,0.5543035916992123,-0.1941874836268398,-0.15081439968601673,0.5622526524552418,93.13899451188298,-15.36790713446823,-77.52260724635019,-27174064325.95538,0.307252471770647,0.022744983152653605,0.03770877879732418,0.31612804519295495
678,678,1996-08-13,660.2000122070312,2545.64990234375,3823.39990234375,20864.94921875,141.3341366475664,114.63638862319559,112.35380259605495,115.12325080453172,-0.8366263365449322,0.5284845596607024,0.652791481170123,0.9597592885334683,-140.57736037589876,41.824022244775925,335.55216023053777,-46385838341.80806,0.6999436270005942,0.426136717888283,0.27929592979976653,0.9211378919262692
679,679,1996-08-14,662.0499877929688,2544.610107421875,3830.300048828125,20981.109375,141.73017526832237,114.58956429961411,112.55656916920731,115.76416944091379,0.28021441256158575,0.1804714824662934,-0.04084595139801639,0.5567238867066893,47.084105216995184,14.282429182158015,-20.995903935063865,-26906855206.64177,0.07852011700723459,0.001668391745609117,0.03256995598358165,0.3099414860298026
680,680,1996-08-15,662.280029296875,2542.75,3837.39990234375,20968.25,141.77942203709932,114.50579944369316,112.76520430043344,115.6932172886802,0.034746848145572606,0.1853602439787272,-0.07309989913384385,-0.06129025291352619,5.838472900409889,14.669323494409458,-37.57528977404547,2962200832.585343,0.0012073434560514824,0.0053435952533781444,0.03435842004785327,0.0037564951022040056
681,681,1996-08-16,665.2100219726562,2567.9599609375,3872.89990234375,20834.0,142.40666829211054,115.64106116076826,113.80840147939317,114.9524871647545,0.44240993932611605,0.9251055637521155,0.9914447325729991,-0.6402537169291622,74.33763289280192,73.21242403368464,509.62892648005936,30943910380.485176,0.19572655441453768,0.9829626577467457,0.8558203040851194,0.4099248220416078
682,682,1996-08-19,666.5800170898438,2556.25,3863.699951171875,21106.41015625,142.6999537715394,115.11373506162252,113.53805322279973,116.45552186715811,0.20594925992318824,-0.23754683580403668,-0.45600247338845046,1.307526909138912,34.605417098074795,-18.79934609863103,-234.39738328338643,-63193690917.60192,0.04241509766290895,0.20793825573638447,0.05642849920050996,1.7096266181223563
